variable,metric,statistic,ccsm,cnrm,hadg,order,order_change,comment
ppt,djf,mean,223.1086608,365.975302,124.2557892,1,1,"future change from historic value, by variable_metric"
ppt,djf,median,199.9000244,333.0999756,109.8999634,2,,"future change from historic value, by variable_metric"
ppt,djf,min,10.5,96.80004883,-59.39996338,3,2,"future change from historic value, by variable_metric"
ppt,djf,max,750.6999512,1079.199951,548.0999756,4,3,"future change from historic value, by variable_metric"
ppt,djf,count,92785,92785,92785,5,,"future change from historic value, by variable_metric"
ppt,jja,mean,7.388783751,17.67498195,11.00433045,1,1,"future change from historic value, by variable_metric"
ppt,jja,median,6.699999809,17.59999919,12.09999967,2,,"future change from historic value, by variable_metric"
ppt,jja,min,2.799999833,5.999999523,1.899999857,3,2,"future change from historic value, by variable_metric"
ppt,jja,max,16.90000057,29.29999995,17.20000005,4,3,"future change from historic value, by variable_metric"
ppt,jja,count,92785,92785,92785,5,,"future change from historic value, by variable_metric"
tmp,avg,mean,2.243892415,2.218225556,3.38583745,1,1,"future change from historic value, by variable_metric"
tmp,avg,median,2.334998131,2.311999321,3.535999298,2,,"future change from historic value, by variable_metric"
tmp,avg,min,-0.638000488,-0.688000679,0.207499504,3,2,"future change from historic value, by variable_metric"
tmp,avg,max,5.116998672,5.096500397,6.290000916,4,3,"future change from historic value, by variable_metric"
tmp,avg,count,92785,92785,92785,5,,"future change from historic value, by variable_metric"
tmp,djf,mean,2.229983305,0.606668109,2.225285347,1,1,"future change from historic value, by variable_metric"
tmp,djf,median,2.400000095,0.700000286,2.399999619,2,,"future change from historic value, by variable_metric"
tmp,djf,min,-2.699999928,-4.199999906,-2.800000072,3,2,"future change from historic value, by variable_metric"
tmp,djf,max,3.900000095,2.299999714,4.000000477,4,3,"future change from historic value, by variable_metric"
tmp,djf,count,92785,92785,92785,5,,"future change from historic value, by variable_metric"
tmp,jja,mean,2.238643103,2.578603218,3.802046655,1,1,"future change from historic value, by variable_metric"
tmp,jja,median,2.149000168,2.474302292,3.804000854,2,,"future change from historic value, by variable_metric"
tmp,jja,min,-4.451000214,-4.150999069,-3.048999786,3,2,"future change from historic value, by variable_metric"
tmp,jja,max,13.10630035,13.40629959,15.30629921,4,3,"future change from historic value, by variable_metric"
tmp,jja,count,92785,92785,92785,5,,"future change from historic value, by variable_metric"